S.no,Filename,Start Time,End TIme,Size,Altitude,,upper_left_latitude,upper_left_longitude,upper_right_latitude,upper_right_longitude,lower_left_latitude,lower_left_longitude,lower_right_latitude,lower_right_longitude,projection,Area
1422,ch2_tmc_ncf_20191229T1201056358_d_img_gds.zip,2019-12-29T12:01:05.635Z,2019-12-29T12:10:42.528Z,1426184000,91.31,View,0.36982,143.387653,0.367155,144.013574,30.033978,143.392859,30.030608,144.163256,Selenographic,Equatorial
1423,ch2_tmc_ncf_20221122T0700519657_d_img_n18.zip,2022-11-22T07:00:51.965Z,2022-11-22T07:08:33.371Z,1142832000,104.67,View,43.332488,-133.526332,43.331297,-132.616408,66.948076,-133.791103,66.944107,-131.994872,Selenographic,Equatorial
1424,ch2_tmc_ncn_20221202T1133119134_d_img_d32.zip,2022-12-02T11:33:11.913Z,2022-12-02T11:41:01.732Z,1161480000,116.39,View,44.687694,92.574639,44.679349,93.550702,68.508138,92.78347,68.490343,94.82748,Selenographic,Equatorial
1425,ch2_tmc_nca_20220716T2040532747_d_img_d18.zip,2022-07-16T20:40:53.274Z,2022-07-16T20:42:00.660Z,167208000,121.75,View,41.437259,-60.629564,41.427131,-61.819703,38.062652,-60.625435,38.052885,-61.76093,Selenographic,Equatorial
1426,ch2_tmc_ncn_20221201T1549554094_d_img_d32.zip,2022-12-01T15:49:55.409Z,2022-12-01T15:57:46.244Z,1163992000,114.64,View,44.84886,103.331954,44.842749,104.313391,68.720581,103.409507,68.706554,105.44973,Selenographic,Equatorial
1427,ch2_tmc_nca_20221118T0026353667_d_img_n18.zip,2022-11-18T00:26:35.366Z,2022-11-18T00:34:27.466Z,1167120000,105.52,View,46.235912,-77.285819,46.2274,-76.210801,70.324536,-77.079025,70.305494,-74.806397,Selenographic,Equatorial
1428,ch2_tmc_nca_20210601T0709442907_d_img_hw1.zip,2021-06-01T07:09:44.290Z,2021-06-01T07:16:10.480Z,954736000,103.17,View,-17.144073,-49.61001,-17.163758,-48.821376,-36.723658,-49.56416,-36.743765,-48.619769,Selenographic,Equatorial
1429,ch2_tmc_ncn_20200721T0305423409_d_img_d32.zip,2020-07-21T03:05:42.340Z,2020-07-21T03:16:18.241Z,1572064000,114.62,View,-28.963037,146.29387,-28.963988,145.428356,-60.851456,146.694798,-60.852182,145.130366,Selenographic,Equatorial
1430,ch2_tmc_ncn_20200719T0750312985_d_img_d32.zip,2020-07-19T07:50:31.298Z,2020-07-19T08:01:07.192Z,1572048000,111.27,View,-29.123567,169.991541,-29.142964,169.100258,-61.058938,170.429062,-61.079851,168.864486,Selenographic,Equatorial
1431,ch2_tmc_ncn_20220125T0333344846_d_img_d18.zip,2022-01-25T03:33:34.484Z,2022-01-25T03:43:39.863Z,1494496000,98.13,View,-89.595313,83.101392,-89.01821,123.761239,-59.702791,-125.217135,-59.691166,-126.501022,Polar stereographic,South
1432,ch2_tmc_nca_20220121T0115093095_d_img_d18.zip,2022-01-21T01:15:09.309Z,2022-01-21T01:30:14.647Z,2238160000,98.79,View,-72.971986,110.183019,-72.93524,112.850349,-60.928637,-71.731979,-60.909805,-73.222225,Selenographic,Equatorial
1433,ch2_tmc_ncf_20220727T0526148890_d_img_d32.zip,2022-07-27T05:26:14.889Z,2022-07-27T05:46:26.267Z,2994704000,125.1,View,32.067272,163.209825,32.072301,162.132909,-27.938991,162.706238,-27.934648,161.68004,Selenographic,Equatorial
